,category_name,title,link,author,year,rating,num_of_people,price_in_dollars,years
153,arts_photo,"Christmas Planner & Diary: Notebook Journal with Holiday Shopping List, Gift Planner, Online Order and Greeting Card Address Book Tracker  ",https://www.amazon.com/Christmas-Planner-Diary-Notebook-Shopping/dp/1688359532/ref=sr_1_109?adgrpid=84486094307&gclid=CjwKCAjwwab7BRBAEiwAapqpTDYtTN8aym2q_rlYn1VdmofKw0_bzkd6xjaCl8cMY4syjbPZMKNMjxoCLIYQAvD_BwE&hvadid=393524136919&hvdev=c&hvlocphy=1010294&hvnetw=g&hvqmt=b&hvrand=2170543926145783317&hvtargid=kwd-469356929&hydadcr=22365_10729094&keywords=amazon+shopping+online&qid=1664895067&qu=eyJxc2MiOiI3Ljc5IiwicXNhIjoiNy4xMCIsInFzcCI6IjQuOTkifQ%3D%3D&s=books&sr=1-109,Elizabeth Daniel,2019-08-24,5.0,1,6.69,2019
170,arts_photo,"Password Book: Collect passwords, logins, pin numbers and all your important website and account information Makes a great inexpensive gift exchange gift (Password Books)  ",https://www.amazon.com/Password-Book-passwords-information-inexpensive/dp/1532412150/ref=sr_1_576?adgrpid=84486094307&gclid=CjwKCAjwwab7BRBAEiwAapqpTDYtTN8aym2q_rlYn1VdmofKw0_bzkd6xjaCl8cMY4syjbPZMKNMjxoCLIYQAvD_BwE&hvadid=393524136919&hvdev=c&hvlocphy=1010294&hvnetw=g&hvqmt=b&hvrand=2170543926145783317&hvtargid=kwd-469356929&hydadcr=22365_10729094&keywords=amazon+shopping+online&qid=1664895079&qu=eyJxc2MiOiI3Ljc5IiwicXNhIjoiNy4xMCIsInFzcCI6IjQuOTkifQ%3D%3D&s=books&sr=1-576,Jacob G. Lee,2018-11-08,4.3,186,8.99,2018
174,arts_photo,Maangchi's Big Book Of Korean Cooking: From Everyday Meals to Celebration Cuisine  ,https://www.amazon.com/Maangchis-Big-Book-Korean-Cooking/dp/1328988120/ref=sr_1_708?adgrpid=84486094307&gclid=CjwKCAjwwab7BRBAEiwAapqpTDYtTN8aym2q_rlYn1VdmofKw0_bzkd6xjaCl8cMY4syjbPZMKNMjxoCLIYQAvD_BwE&hvadid=393524136919&hvdev=c&hvlocphy=1010294&hvnetw=g&hvqmt=b&hvrand=2170543926145783317&hvtargid=kwd-469356929&hydadcr=22365_10729094&keywords=amazon+shopping+online&qid=1664895087&qu=eyJxc2MiOiI3Ljc5IiwicXNhIjoiNy4xMCIsInFzcCI6IjQuOTkifQ%3D%3D&s=books&sr=1-708,Maangchi  and Martha Rose Shulman,2019-10-29,4.8,3946,17.59,2019
175,arts_photo,"REMEDIA PUBLICATIONS Life Skills Math Series, Set of 5 (UP with Language Series)  ",https://www.amazon.com/REMEDIA-PUBLICATIONS-Life-Skills-Language/dp/1561750050/ref=sr_1_709?adgrpid=84486094307&gclid=CjwKCAjwwab7BRBAEiwAapqpTDYtTN8aym2q_rlYn1VdmofKw0_bzkd6xjaCl8cMY4syjbPZMKNMjxoCLIYQAvD_BwE&hvadid=393524136919&hvdev=c&hvlocphy=1010294&hvnetw=g&hvqmt=b&hvrand=2170543926145783317&hvtargid=kwd-469356929&hydadcr=22365_10729094&keywords=amazon+shopping+online&qid=1664895087&qu=eyJxc2MiOiI3Ljc5IiwicXNhIjoiNy4xMCIsInFzcCI6IjQuOTkifQ%3D%3D&s=books&sr=1-709,Sue LaRo,2018-12-01,2.0,16,54.91,2018
176,arts_photo,"""They Say / I Say"": The Moves That Matter in Academic Writing, with 2016 MLA Update (Third Edition)  ",https://www.amazon.com/They-Say-Matter-Academic-Writing/dp/0393617432/ref=sr_1_710?adgrpid=84486094307&gclid=CjwKCAjwwab7BRBAEiwAapqpTDYtTN8aym2q_rlYn1VdmofKw0_bzkd6xjaCl8cMY4syjbPZMKNMjxoCLIYQAvD_BwE&hvadid=393524136919&hvdev=c&hvlocphy=1010294&hvnetw=g&hvqmt=b&hvrand=2170543926145783317&hvtargid=kwd-469356929&hydadcr=22365_10729094&keywords=amazon+shopping+online&qid=1664895087&qu=eyJxc2MiOiI3Ljc5IiwicXNhIjoiNy4xMCIsInFzcCI6IjQuOTkifQ%3D%3D&s=books&sr=1-710,Gerald Graff  and Cathy Birkenstein,2016-10-27,4.3,2195,12.51,2016
178,arts_photo,The Challenger Sale: Taking Control of the Customer Conversation  ,https://www.amazon.com/Challenger-Sale-Control-Customer-Conversation/dp/1591844355/ref=sr_1_712?adgrpid=84486094307&gclid=CjwKCAjwwab7BRBAEiwAapqpTDYtTN8aym2q_rlYn1VdmofKw0_bzkd6xjaCl8cMY4syjbPZMKNMjxoCLIYQAvD_BwE&hvadid=393524136919&hvdev=c&hvlocphy=1010294&hvnetw=g&hvqmt=b&hvrand=2170543926145783317&hvtargid=kwd-469356929&hydadcr=22365_10729094&keywords=amazon+shopping+online&qid=1664895087&qu=eyJxc2MiOiI3Ljc5IiwicXNhIjoiNy4xMCIsInFzcCI6IjQuOTkifQ%3D%3D&s=books&sr=1-712,Matthew Dixon  and Brent Adamson,2011-11-10,4.5,3862,14.39,2011
180,arts_photo,Prague Shopping Guide: From Trinkets to Treasures  ,https://www.amazon.com/Prague-Shopping-Guide-Trinkets-Treasures/dp/198618028X/ref=sr_1_714?adgrpid=84486094307&gclid=CjwKCAjwwab7BRBAEiwAapqpTDYtTN8aym2q_rlYn1VdmofKw0_bzkd6xjaCl8cMY4syjbPZMKNMjxoCLIYQAvD_BwE&hvadid=393524136919&hvdev=c&hvlocphy=1010294&hvnetw=g&hvqmt=b&hvrand=2170543926145783317&hvtargid=kwd-469356929&hydadcr=22365_10729094&keywords=amazon+shopping+online&qid=1664895087&qu=eyJxc2MiOiI3Ljc5IiwicXNhIjoiNy4xMCIsInFzcCI6IjQuOTkifQ%3D%3D&s=books&sr=1-714,Krysti Brice,2018-03-09,5.0,5,12.99,2018
183,arts_photo,"I Forgot My Password: Password Log Book and Internet Password Organizer with Tabs to Keep Track of Websites, Usernames and Passwords  ",https://www.amazon.com/Forgot-Password-Organizer-Usernames-Passwords/dp/1675208425/ref=sr_1_717?adgrpid=84486094307&gclid=CjwKCAjwwab7BRBAEiwAapqpTDYtTN8aym2q_rlYn1VdmofKw0_bzkd6xjaCl8cMY4syjbPZMKNMjxoCLIYQAvD_BwE&hvadid=393524136919&hvdev=c&hvlocphy=1010294&hvnetw=g&hvqmt=b&hvrand=2170543926145783317&hvtargid=kwd-469356929&hydadcr=22365_10729094&keywords=amazon+shopping+online&qid=1664895087&qu=eyJxc2MiOiI3Ljc5IiwicXNhIjoiNy4xMCIsInFzcCI6IjQuOTkifQ%3D%3D&s=books&sr=1-717,Madzia Notebooks,2019-12-13,4.5,145,5.95,2019
189,arts_photo,"Always Delicious: Over 175 Satisfying Recipes to Conquer Cravings, Retrain Your Fat Cells, and Keep the Weight Off Permanently  ",https://www.amazon.com/Always-Delicious-Satisfying-Cravings-Permanently/dp/1478947772/ref=sr_1_899?adgrpid=84486094307&gclid=CjwKCAjwwab7BRBAEiwAapqpTDYtTN8aym2q_rlYn1VdmofKw0_bzkd6xjaCl8cMY4syjbPZMKNMjxoCLIYQAvD_BwE&hvadid=393524136919&hvdev=c&hvlocphy=1010294&hvnetw=g&hvqmt=b&hvrand=2170543926145783317&hvtargid=kwd-469356929&hydadcr=22365_10729094&keywords=amazon+shopping+online&qid=1664895095&qu=eyJxc2MiOiI3Ljc5IiwicXNhIjoiNy4xMCIsInFzcCI6IjQuOTkifQ%3D%3D&s=books&sr=1-899,"David Ludwig MD  PhD, Dawn Ludwig, et al.",2018-03-06,4.3,296,11.98,2018
204,arts_photo,Quick & Easy Ketogenic Cooking  ,https://www.amazon.com/Quick-Easy-Ketogenic-Cooking-Recipes/dp/1628601000/ref=sr_1_962?adgrpid=84486094307&gclid=CjwKCAjwwab7BRBAEiwAapqpTDYtTN8aym2q_rlYn1VdmofKw0_bzkd6xjaCl8cMY4syjbPZMKNMjxoCLIYQAvD_BwE&hvadid=393524136919&hvdev=c&hvlocphy=1010294&hvnetw=g&hvqmt=b&hvrand=2170543926145783317&hvtargid=kwd-469356929&hydadcr=22365_10729094&keywords=amazon+shopping+online&qid=1664895103&qu=eyJxc2MiOiI3Ljc5IiwicXNhIjoiNy4xMCIsInFzcCI6IjQuOTkifQ%3D%3D&s=books&sr=1-962,Maria Emmerich,2016-03-15,4.6,2680,16.79,2016
205,arts_photo,"The New Testament in Its World: An Introduction to the History, Literature, and Theology of the First Christians  ",https://www.amazon.com/New-Testament-Its-World-Introduction/dp/0310499305/ref=sr_1_963?adgrpid=84486094307&gclid=CjwKCAjwwab7BRBAEiwAapqpTDYtTN8aym2q_rlYn1VdmofKw0_bzkd6xjaCl8cMY4syjbPZMKNMjxoCLIYQAvD_BwE&hvadid=393524136919&hvdev=c&hvlocphy=1010294&hvnetw=g&hvqmt=b&hvrand=2170543926145783317&hvtargid=kwd-469356929&hydadcr=22365_10729094&keywords=amazon+shopping+online&qid=1664895103&qu=eyJxc2MiOiI3Ljc5IiwicXNhIjoiNy4xMCIsInFzcCI6IjQuOTkifQ%3D%3D&s=books&sr=1-963,N. T. Wright  and Michael F. Bird,2019-11-19,4.8,930,47.94,2019
206,arts_photo,The Old Farmer's Almanac 2020  ,https://www.amazon.com/Old-Farmers-Almanac-2020-Trade/dp/1571988149/ref=sr_1_964?adgrpid=84486094307&gclid=CjwKCAjwwab7BRBAEiwAapqpTDYtTN8aym2q_rlYn1VdmofKw0_bzkd6xjaCl8cMY4syjbPZMKNMjxoCLIYQAvD_BwE&hvadid=393524136919&hvdev=c&hvlocphy=1010294&hvnetw=g&hvqmt=b&hvrand=2170543926145783317&hvtargid=kwd-469356929&hydadcr=22365_10729094&keywords=amazon+shopping+online&qid=1664895103&qu=eyJxc2MiOiI3Ljc5IiwicXNhIjoiNy4xMCIsInFzcCI6IjQuOTkifQ%3D%3D&s=books&sr=1-964,Old Farmer’s Almanac,2019-09-03,4.7,4314,9.95,2019
209,arts_photo,How Amazon Smile Works: Charity Program Details  ,https://www.amazon.com/How-Amazon-Smile-Works-Charity-ebook/dp/B01NBZ3RTM/ref=sr_1_967?adgrpid=84486094307&gclid=CjwKCAjwwab7BRBAEiwAapqpTDYtTN8aym2q_rlYn1VdmofKw0_bzkd6xjaCl8cMY4syjbPZMKNMjxoCLIYQAvD_BwE&hvadid=393524136919&hvdev=c&hvlocphy=1010294&hvnetw=g&hvqmt=b&hvrand=2170543926145783317&hvtargid=kwd-469356929&hydadcr=22365_10729094&keywords=amazon+shopping+online&qid=1664895103&qu=eyJxc2MiOiI3Ljc5IiwicXNhIjoiNy4xMCIsInFzcCI6IjQuOTkifQ%3D%3D&s=books&sr=1-967,AndreaTV Edwards,2017-01-27,3.6,51,0.0,2017
214,arts_photo,Shoestring Chic: 101 Ways To Live The Fashionably Luxe Life For Less  ,https://www.amazon.com/Shoestring-Chic-Ways-Live-Fashionably/dp/1599219883/ref=sr_1_972?adgrpid=84486094307&gclid=CjwKCAjwwab7BRBAEiwAapqpTDYtTN8aym2q_rlYn1VdmofKw0_bzkd6xjaCl8cMY4syjbPZMKNMjxoCLIYQAvD_BwE&hvadid=393524136919&hvdev=c&hvlocphy=1010294&hvnetw=g&hvqmt=b&hvrand=2170543926145783317&hvtargid=kwd-469356929&hydadcr=22365_10729094&keywords=amazon+shopping+online&qid=1664895103&qu=eyJxc2MiOiI3Ljc5IiwicXNhIjoiNy4xMCIsInFzcCI6IjQuOTkifQ%3D%3D&s=books&sr=1-972,Kerrie Hess,2011-04-01,4.6,42,16.95,2011
216,arts_photo,Brunch at Bobby's: 140 Recipes for the Best Part of the Weekend: A Cookbook  ,https://www.amazon.com/Brunch-Bobbys-Recipes-Best-Weekend/dp/0385345895/ref=sr_1_974?adgrpid=84486094307&gclid=CjwKCAjwwab7BRBAEiwAapqpTDYtTN8aym2q_rlYn1VdmofKw0_bzkd6xjaCl8cMY4syjbPZMKNMjxoCLIYQAvD_BwE&hvadid=393524136919&hvdev=c&hvlocphy=1010294&hvnetw=g&hvqmt=b&hvrand=2170543926145783317&hvtargid=kwd-469356929&hydadcr=22365_10729094&keywords=amazon+shopping+online&qid=1664895103&qu=eyJxc2MiOiI3Ljc5IiwicXNhIjoiNy4xMCIsInFzcCI6IjQuOTkifQ%3D%3D&s=books&sr=1-974,"Bobby Flay , Stephanie Banyas , et al.",2015-09-29,4.7,840,23.99,2015
268,childrens,Make: Electronics: Learning Through Discovery  ,https://www.amazon.com/Make-Electronics-Learning-Through-Discovery/dp/1680450263/ref=sr_1_72?adgrpid=84486094307&gclid=CjwKCAjwwab7BRBAEiwAapqpTDYtTN8aym2q_rlYn1VdmofKw0_bzkd6xjaCl8cMY4syjbPZMKNMjxoCLIYQAvD_BwE&hvadid=393524136919&hvdev=c&hvlocphy=1010294&hvnetw=g&hvqmt=b&hvrand=2170543926145783317&hvtargid=kwd-469356929&hydadcr=22365_10729094&keywords=amazon+shopping+online&qid=1664895235&qu=eyJxc2MiOiI3Ljc5IiwicXNhIjoiNy4xMCIsInFzcCI6IjQuOTkifQ%3D%3D&rnid=283155&s=books&sr=1-72,Charles Platt,2015-09-22,4.7,1306,28.99,2015
295,computers,"Shit I can't remember: Internet ID Password Keeper Address Logbook Passkey Record Journal Notebook Organizer Men, Women (Internet Password Login ID Logbook Journal Organizer Series)  ",https://www.amazon.com/Shit-cant-remember-Internet-Organizer/dp/1983886629/ref=sr_1_351?adgrpid=84486094307&gclid=CjwKCAjwwab7BRBAEiwAapqpTDYtTN8aym2q_rlYn1VdmofKw0_bzkd6xjaCl8cMY4syjbPZMKNMjxoCLIYQAvD_BwE&hvadid=393524136919&hvdev=c&hvlocphy=1010294&hvnetw=g&hvqmt=b&hvrand=2170543926145783317&hvtargid=kwd-469356929&hydadcr=22365_10729094&keywords=amazon+shopping+online&qid=1664895304&qu=eyJxc2MiOiI3Ljc5IiwicXNhIjoiNy4xMCIsInFzcCI6IjQuOTkifQ%3D%3D&rnid=283155&s=books&sr=1-351,Internet Password Book,2018-01-16,4.5,278,4.9,2018
300,computers,Online Shopping Tracker: Keep Tracking Organizer Notebook for online purchases or shopping orders made through an online website (Vol : 4) (Order log)  ,https://www.amazon.com/Online-Shopping-Tracker-Organizer-purchases/dp/1650248164/ref=sr_1_445?adgrpid=84486094307&gclid=CjwKCAjwwab7BRBAEiwAapqpTDYtTN8aym2q_rlYn1VdmofKw0_bzkd6xjaCl8cMY4syjbPZMKNMjxoCLIYQAvD_BwE&hvadid=393524136919&hvdev=c&hvlocphy=1010294&hvnetw=g&hvqmt=b&hvrand=2170543926145783317&hvtargid=kwd-469356929&hydadcr=22365_10729094&keywords=amazon+shopping+online&qid=1664895311&qu=eyJxc2MiOiI3Ljc5IiwicXNhIjoiNy4xMCIsInFzcCI6IjQuOTkifQ%3D%3D&rnid=283155&s=books&sr=1-445,Isabelle C. Gent,2019-12-26,0.0,0,6.99,2019
311,computers,Data Points: Visualization That Means Something  ,https://www.amazon.com/Data-Points-Visualization-Means-Something/dp/111846219X/ref=sr_1_634?adgrpid=84486094307&gclid=CjwKCAjwwab7BRBAEiwAapqpTDYtTN8aym2q_rlYn1VdmofKw0_bzkd6xjaCl8cMY4syjbPZMKNMjxoCLIYQAvD_BwE&hvadid=393524136919&hvdev=c&hvlocphy=1010294&hvnetw=g&hvqmt=b&hvrand=2170543926145783317&hvtargid=kwd-469356929&hydadcr=22365_10729094&keywords=amazon+shopping+online&qid=1664895317&qu=eyJxc2MiOiI3Ljc5IiwicXNhIjoiNy4xMCIsInFzcCI6IjQuOTkifQ%3D%3D&rnid=283155&s=books&sr=1-634,Nathan Yau,2013-04-15,4.4,134,33.99,2013
313,computers,Real World PayPal IPN: A Simple-English Guide To Setting Up PayPal Instant Payment Notifications (IPN) or Payment Data Transfer (PDT)  ,https://www.amazon.com/Real-World-PayPal-Simple-English-Notifications/dp/1521345899/ref=sr_1_636?adgrpid=84486094307&gclid=CjwKCAjwwab7BRBAEiwAapqpTDYtTN8aym2q_rlYn1VdmofKw0_bzkd6xjaCl8cMY4syjbPZMKNMjxoCLIYQAvD_BwE&hvadid=393524136919&hvdev=c&hvlocphy=1010294&hvnetw=g&hvqmt=b&hvrand=2170543926145783317&hvtargid=kwd-469356929&hydadcr=22365_10729094&keywords=amazon+shopping+online&qid=1664895317&qu=eyJxc2MiOiI3Ljc5IiwicXNhIjoiNy4xMCIsInFzcCI6IjQuOTkifQ%3D%3D&rnid=283155&s=books&sr=1-636,Paul Croubalian,2017-05-21,5.0,1,14.99,2017
315,computers,Usernames & Passwords: A Small Password Logbook for Senior Women  ,https://www.amazon.com/Usernames-Passwords-Password-Logbook-Senior/dp/1687394687/ref=sr_1_638?adgrpid=84486094307&gclid=CjwKCAjwwab7BRBAEiwAapqpTDYtTN8aym2q_rlYn1VdmofKw0_bzkd6xjaCl8cMY4syjbPZMKNMjxoCLIYQAvD_BwE&hvadid=393524136919&hvdev=c&hvlocphy=1010294&hvnetw=g&hvqmt=b&hvrand=2170543926145783317&hvtargid=kwd-469356929&hydadcr=22365_10729094&keywords=amazon+shopping+online&qid=1664895317&qu=eyJxc2MiOiI3Ljc5IiwicXNhIjoiNy4xMCIsInFzcCI6IjQuOTkifQ%3D%3D&rnid=283155&s=books&sr=1-638,Josielle D Price,2019-08-20,3.5,2,3.84,2019
317,computers,"The Lawyer's Ultimate Guide to Online Leads: Getting More Clients from the Web into Your Law Practice, Step-By-Step  ",https://www.amazon.com/Lawyers-Ultimate-Guide-Online-Leads-ebook/dp/B00TRU62F6/ref=sr_1_640?adgrpid=84486094307&gclid=CjwKCAjwwab7BRBAEiwAapqpTDYtTN8aym2q_rlYn1VdmofKw0_bzkd6xjaCl8cMY4syjbPZMKNMjxoCLIYQAvD_BwE&hvadid=393524136919&hvdev=c&hvlocphy=1010294&hvnetw=g&hvqmt=b&hvrand=2170543926145783317&hvtargid=kwd-469356929&hydadcr=22365_10729094&keywords=amazon+shopping+online&qid=1664895317&qu=eyJxc2MiOiI3Ljc5IiwicXNhIjoiNy4xMCIsInFzcCI6IjQuOTkifQ%3D%3D&rnid=283155&s=books&sr=1-640,Ken Matejka,2015-02-17,4.2,46,0.0,2015
318,computers,"E-Commerce Shopify Blueprint: Create Your Own Shopify Store, Sell Products and Make a Full Time Income Online  ",https://www.amazon.com/Commerce-Shopify-Blueprint-Create-Products-ebook/dp/B01AYMHJ5W/ref=sr_1_1169?adgrpid=84486094307&gclid=CjwKCAjwwab7BRBAEiwAapqpTDYtTN8aym2q_rlYn1VdmofKw0_bzkd6xjaCl8cMY4syjbPZMKNMjxoCLIYQAvD_BwE&hvadid=393524136919&hvdev=c&hvlocphy=1010294&hvnetw=g&hvqmt=b&hvrand=2170543926145783317&hvtargid=kwd-469356929&hydadcr=22365_10729094&keywords=amazon+shopping+online&qid=1664895332&qu=eyJxc2MiOiI3Ljc5IiwicXNhIjoiNy4xMCIsInFzcCI6IjQuOTkifQ%3D%3D&rnid=283155&s=books&sr=1-1169,Jesse Neymar,2016-01-21,4.1,2,0.0,2016
319,computers,"Weekend Profits: Making Money Through Part-Time Weekend Work on Amazon Affiliate, Pinterest Marketing & Website Buy & Sell Business Ideas  ",https://www.amazon.com/Weekend-Profits-Part-Time-Affiliate-Pinterest-ebook/dp/B07C16WGCP/ref=sr_1_1170?adgrpid=84486094307&gclid=CjwKCAjwwab7BRBAEiwAapqpTDYtTN8aym2q_rlYn1VdmofKw0_bzkd6xjaCl8cMY4syjbPZMKNMjxoCLIYQAvD_BwE&hvadid=393524136919&hvdev=c&hvlocphy=1010294&hvnetw=g&hvqmt=b&hvrand=2170543926145783317&hvtargid=kwd-469356929&hydadcr=22365_10729094&keywords=amazon+shopping+online&qid=1664895332&qu=eyJxc2MiOiI3Ljc5IiwicXNhIjoiNy4xMCIsInFzcCI6IjQuOTkifQ%3D%3D&rnid=283155&s=books&sr=1-1170,TJ Arron,2018-04-06,0.0,0,0.0,2018
320,computers,"Shopify Store Secrets:: Make Money Online & Build Your Own $100,000 Shopify Online Business – Step-by-Step Guide  ",https://www.amazon.com/Shopify-Store-Secrets-Step-Step-ebook/dp/B07H591G7G/ref=sr_1_1171?adgrpid=84486094307&gclid=CjwKCAjwwab7BRBAEiwAapqpTDYtTN8aym2q_rlYn1VdmofKw0_bzkd6xjaCl8cMY4syjbPZMKNMjxoCLIYQAvD_BwE&hvadid=393524136919&hvdev=c&hvlocphy=1010294&hvnetw=g&hvqmt=b&hvrand=2170543926145783317&hvtargid=kwd-469356929&hydadcr=22365_10729094&keywords=amazon+shopping+online&qid=1664895332&qu=eyJxc2MiOiI3Ljc5IiwicXNhIjoiNy4xMCIsInFzcCI6IjQuOTkifQ%3D%3D&rnid=283155&s=books&sr=1-1171,Jonny N. Newman,2018-09-06,0.0,0,0.0,2018
328,computers,"Internet Selling Formula: Ways to Make Money as an Online Seller Today. Shopify, eBay & SEO Consulting Business Ideas  ",https://www.amazon.com/Internet-Selling-Formula-Consulting-Business-ebook/dp/B075KCNXYH/ref=sr_1_1179?adgrpid=84486094307&gclid=CjwKCAjwwab7BRBAEiwAapqpTDYtTN8aym2q_rlYn1VdmofKw0_bzkd6xjaCl8cMY4syjbPZMKNMjxoCLIYQAvD_BwE&hvadid=393524136919&hvdev=c&hvlocphy=1010294&hvnetw=g&hvqmt=b&hvrand=2170543926145783317&hvtargid=kwd-469356929&hydadcr=22365_10729094&keywords=amazon+shopping+online&qid=1664895332&qu=eyJxc2MiOiI3Ljc5IiwicXNhIjoiNy4xMCIsInFzcCI6IjQuOTkifQ%3D%3D&rnid=283155&s=books&sr=1-1179,Angelo Benham,2017-09-11,0.0,0,0.0,2017
331,computers,From Idea to App: Here's how you do it!  ,https://www.amazon.com/Idea-App-Heres-how-you/dp/8759332220/ref=sr_1_1182?adgrpid=84486094307&gclid=CjwKCAjwwab7BRBAEiwAapqpTDYtTN8aym2q_rlYn1VdmofKw0_bzkd6xjaCl8cMY4syjbPZMKNMjxoCLIYQAvD_BwE&hvadid=393524136919&hvdev=c&hvlocphy=1010294&hvnetw=g&hvqmt=b&hvrand=2170543926145783317&hvtargid=kwd-469356929&hydadcr=22365_10729094&keywords=amazon+shopping+online&qid=1664895332&qu=eyJxc2MiOiI3Ljc5IiwicXNhIjoiNy4xMCIsInFzcCI6IjQuOTkifQ%3D%3D&rnid=283155&s=books&sr=1-1182,"Steven Hoejlund, Christian Nielsen , et al.",2019-06-20,0.0,0,40.38,2019
341,crafts,"Crazy Busy Keto: Recipes, Shortcuts, and Tips for Surviving without Sugar and Starch  ",https://www.amazon.com/Crazy-Busy-Keto-Kristie-Sullivan/dp/1628603925/ref=sr_1_456?adgrpid=84486094307&gclid=CjwKCAjwwab7BRBAEiwAapqpTDYtTN8aym2q_rlYn1VdmofKw0_bzkd6xjaCl8cMY4syjbPZMKNMjxoCLIYQAvD_BwE&hvadid=393524136919&hvdev=c&hvlocphy=1010294&hvnetw=g&hvqmt=b&hvrand=2170543926145783317&hvtargid=kwd-469356929&hydadcr=22365_10729094&keywords=amazon+shopping+online&qid=1664895366&qu=eyJxc2MiOiI3Ljc5IiwicXNhIjoiNy4xMCIsInFzcCI6IjQuOTkifQ%3D%3D&rnid=283155&s=books&sr=1-456,Kristie Sullivan,2019-11-26,4.7,2066,17.95,2019
348,crafts,The Secrets To Online Bargain Shopping: Money Saving Ideas And Tips For Finding Bargain Deals On The Internet  ,https://www.amazon.com/Secrets-Online-Bargain-Shopping-Internet/dp/1452894884/ref=sr_1_463?adgrpid=84486094307&gclid=CjwKCAjwwab7BRBAEiwAapqpTDYtTN8aym2q_rlYn1VdmofKw0_bzkd6xjaCl8cMY4syjbPZMKNMjxoCLIYQAvD_BwE&hvadid=393524136919&hvdev=c&hvlocphy=1010294&hvnetw=g&hvqmt=b&hvrand=2170543926145783317&hvtargid=kwd-469356929&hydadcr=22365_10729094&keywords=amazon+shopping+online&qid=1664895366&qu=eyJxc2MiOiI3Ljc5IiwicXNhIjoiNy4xMCIsInFzcCI6IjQuOTkifQ%3D%3D&rnid=283155&s=books&sr=1-463,K M S Publishing.com,2010-05-30,5.0,2,15.95,2010
349,crafts,Vegan Meal Prep: Ready-to-Go Meals and Snacks for Healthy Plant-Based Eating  ,https://www.amazon.com/Vegan-Meal-Prep-Ready-Go/dp/1641522909/ref=sr_1_464?adgrpid=84486094307&gclid=CjwKCAjwwab7BRBAEiwAapqpTDYtTN8aym2q_rlYn1VdmofKw0_bzkd6xjaCl8cMY4syjbPZMKNMjxoCLIYQAvD_BwE&hvadid=393524136919&hvdev=c&hvlocphy=1010294&hvnetw=g&hvqmt=b&hvrand=2170543926145783317&hvtargid=kwd-469356929&hydadcr=22365_10729094&keywords=amazon+shopping+online&qid=1664895366&qu=eyJxc2MiOiI3Ljc5IiwicXNhIjoiNy4xMCIsInFzcCI6IjQuOTkifQ%3D%3D&rnid=283155&s=books&sr=1-464,JL Fields,2018-12-18,4.5,827,13.99,2018
366,crafts,"Christmas Calendar Planner 2019 2020 2021: Pretty Organizer Notebook For Daily Weekly Monthly and Yearly Holiday Planning, Keepsake Memories Journal, ... (Christmas 2019 - 2021 Calendar Planner)  ",https://www.amazon.com/Christmas-Calendar-Planner-2019-2020/dp/1709527730/ref=sr_1_1121?adgrpid=84486094307&gclid=CjwKCAjwwab7BRBAEiwAapqpTDYtTN8aym2q_rlYn1VdmofKw0_bzkd6xjaCl8cMY4syjbPZMKNMjxoCLIYQAvD_BwE&hvadid=393524136919&hvdev=c&hvlocphy=1010294&hvnetw=g&hvqmt=b&hvrand=2170543926145783317&hvtargid=kwd-469356929&hydadcr=22365_10729094&keywords=amazon+shopping+online&qid=1664895388&qu=eyJxc2MiOiI3Ljc5IiwicXNhIjoiNy4xMCIsInFzcCI6IjQuOTkifQ%3D%3D&rnid=283155&s=books&sr=1-1121,Christmas Planner Publishing Co.,2019-11-19,0.0,0,6.99,2019
367,crafts,"Christmas Calendar Planner 2019 2020 2021: Personal Organizer Journal For Daily Weekly Monthly and Yearly Holiday Planning, Keepsake Memories ... (Christmas 2019 - 2021 Calendar Planner)  ",https://www.amazon.com/Christmas-Calendar-Planner-2019-2020/dp/1709527560/ref=sr_1_1122?adgrpid=84486094307&gclid=CjwKCAjwwab7BRBAEiwAapqpTDYtTN8aym2q_rlYn1VdmofKw0_bzkd6xjaCl8cMY4syjbPZMKNMjxoCLIYQAvD_BwE&hvadid=393524136919&hvdev=c&hvlocphy=1010294&hvnetw=g&hvqmt=b&hvrand=2170543926145783317&hvtargid=kwd-469356929&hydadcr=22365_10729094&keywords=amazon+shopping+online&qid=1664895388&qu=eyJxc2MiOiI3Ljc5IiwicXNhIjoiNy4xMCIsInFzcCI6IjQuOTkifQ%3D%3D&rnid=283155&s=books&sr=1-1122,Christmas Planner Publishing Co.,2019-11-19,0.0,0,6.99,2019
